NAME : out79.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 4390728.34 7493189.45
2 9070749.93 4932242.57
3 9080248.19 3182125.8
4 3366524.64 8840078.67
5 8918883.31 3198484.45
6 4662367.07 707216.84
7 102866.705 3449731.5
8 8821797.4 3423485.11
9 3303395.51 9242273.14
10 8050323.82 2940883.64
11 5817980.13 2358777.08
12 1498722.23 5606982.46
13 151419.729 1114705.17
14 8756858.45 8364776.91
15 3765860.31 6522719.84
16 582109.685 6153734.05
17 5114899.87 1656080.24
18 96862.0833 2233392.52
19 5699512.13 4285330.73
20 903016.855 9073352.27
21 1545361.64 5048738.06
22 5071380.97 4221501.55
23 2307136.85 6044707.16
24 4489994.17 1090050.48
25 9504967.65 4380339.86
26 9118328.01 5271519.52
27 9872108.53 306297.136
28 1821185.52 2496130.99
29 3443119.45 3889070.95
30 5317151.2 9249339.01
31 7562938.02 1441344.95
32 6851273.74 7891570.56
33 5729994.72 3298858.27
34 4403608.48 3990539.36
35 6395171.78 8874702.98
36 9325883.28 8304812.78
37 5011007.42 4736716.59
38 3674638.37 9467892.34
39 3306201.51 3443015.89
40 2537916.63 5681909.45
41 3929227.74 5285669.17
42 6920772.17 1206142.35
43 888433.43 7946434.79
44 9767129.72 7537059.87
45 3146839.87 4780485.15
46 2689477.4 5753251.91
47 2145379.07 1408766.89
48 6261981.26 165555.283
49 9942444.53 9569880.99
50 9373372.98 4068953.07
51 5070977.35 469866.76
52 9836027.99 4807149.82
53 744479.449 1824255.96
54 2530260.54 6044098.18
55 7402385.8 4876281.54
56 3366787.43 1162286.97
57 5090603.59 9066488.36
58 1787001.04 4828862.61
59 8891325.5 962219.232
60 4295827.81 3149067.46
61 5382363.76 4947120.12
62 111469.909 8303159.96
63 1354550.45 2312427.74
64 3852870.91 7712089.24
65 4720527.79 2877719.44
66 2718270.48 7147556.33
67 2950805.56 3032789.47
68 5814358.75 2745696.84
69 7726828.62 4952817.88
70 5511821.69 4886344.29
71 5760071.64 9830790.94
72 6226919.13 7538911.94
73 4310315.43 6728147.72
74 5546377.34 6514419.41
75 6016514.43 9369931.35
76 488028.564 9795450.44
77 28374.5422 3052211.19
78 3895139.72 5994628.59
79 1464516.88 7948245.94
80 7340876.72 5154170.06
81 1857184.15 8437823.02
82 3663103.71 7665194.66
83 5959285.41 1523883.38
84 1465833.45 9290276.01
85 2398261.58 9104167.1
86 2867473.51 6396536.95
87 2179360.96 2898424.85
88 239222.896 2568523.39
89 3026715.61 6090369.56
90 6853011.7 504816.58
91 7029402.45 7188664.81
92 3363005.44 5872580.04
93 2955433.39 9806786.8
94 6176257.05 109711.481
95 767479.919 199863.779
96 2481386.36 4879439.86
97 6066749.66 9814078.55
98 9005449.33 2301046.84
99 7391455.89 1354779.6
100 1237835.17 8161803.33
EOF
